Título,Gênero(s),Desenvolvedora(s),Publicadora(s),NA,EU,JP,AU
Metal Gear Rising: Revengeance,Ação & Hack and slash,Kojima Productions,Konami,19 de fevereiro de 2013,21 de fevereiro de 2013,21 de fevereiro de 2013,22 de novembro de 2013
Metal Gear Solid HD Collection,"Tiro em terceira pessoa, Stealth, Ação",Kojima Productions,Konami,8 de novembro de 2011,2 de fevereiro de 2012,10 de novembro de 2011,22 de novembro de 2013
Metal Gear Solid V: Ground Zeroes,"Stealth, Ação",Kojima Productions,Konami,18 de março de 2014,20 de março de 2014,20 de março de 2014,22 de novembro de 2013
Metal Gear Solid V: The Phantom Pain,"Stealth, Ação",Kojima Productions,Konami,1 de setembro de 2015,1 de setembro de 2015,1 de setembro de 2015,22 de novembro de 2013
Metal Gear Solid: Peace Walker HD Edition,-,Kojima Productions,Konami,Não lançado,Não lançado,10 de novembro de 2011,Não lançado
Metal Slug 3,Clássico,SNK,SNK,2 de janeiro de 2008,-,-,-
Metal Slug XX,Clássico,SNK,SNK,18 de maio de 2010,-,-,-
Meteos Wars,Puzzle & Trivia,Q Entertainment,Q Entertainment,10 de dezembro de 2008,-,-,-
Metro 2033,"Survival Horror, Tiro em primeira pessoa",4A Games,THQ,16 de março de 2010,19 de março de 2010,Não lançado,22 de novembro de 2013
Metro: Last Light,"Survival Horror, Tiro em primeira pessoa",4A Games,Deep Silver,14 de maio de 2013,17 de maio de 2013,Não lançado,22 de novembro de 2013
MIB: Alien Crisis,Ação & Aventura,Fun Labs,Activision,22 de maio de 2012,25 de maio de 2012,Não lançado,22 de novembro de 2013
Michael Jackson: The Experience,-,Ubisoft Montreal,"Ubisoft, Triumph International",12 de abril de 2011,15 de abril de 2011,14 de abril de 2011,8 de abril de 2011
Michael Phelps: Push The Limit,-,Blitz Games Studios,505 Games,11 de outubro de 2011,14 de outubro de 2011,TBA,TBA
MicroBot,Tiro,Naked Sky Entertainment,Electronic Arts,29 de dezembro de 2010,-,-,-
Middle-earth: Shadow of Mordor,RPG de ação,Monolith Productions,Warner Bros. Interactive Entertainment,7 de outubro de 2014,7 de outubro de 2014,7 de outubro de 2014,22 de novembro de 2013
Midnight Club: Los Angeles,Corrida,Rockstar San Diego,Rockstar Games,20 de outubro de 2008,10 de outubro de 2008,5 de fevereiro de 2009,22 de novembro de 2013
Midway Arcade Origins,Compilação,Backbone Entertainment,Warner Bros.,6 de novembro de 2012,6 de novembro de 2012,Não lançado,22 de novembro de 2013
Might & Magic: Clash of Heroes HD,RPG da ação,Capybara Games,Ubisoft,13 de abril de 2011,-,-,-
Might & Magic: Duel of Champions - Forgotten Wars,Estratégia & Simulação,Ubisoft,Ubisoft,23 de julho de 2014,-,-,-
Mighty No. 9Mighty No. 9,Ação & Aventura,Comcept/Inti Creates,Deep Silver,21 de junho de 2016,-,-,-
Military Madness: Nectaris,-,Backbone Entertainment,Hudson Soft,30 de setembro de 2009,-,-,-
MindJack,Tiro em terceira pessoa,feelplus,Square Enix,18 de janeiro de 2011,21 de janeiro de 2011,27 de janeiro de 2011,22 de novembro de 2013
