Título,Gênero(s),Desenvolvedora(s),Publicadora(s),NA,EU,JP,AU
Darksiders,"Hack and slash, Ação e aventura",Vigil Games,THQ,5 de janeiro de 2010,8 de janeiro de 2010,Não lançado,22 de novembro de 2013
Darksiders II,"Hack and slash, Ação e aventura",Vigil Games,THQ,14 de julho de 2012,21 de julho de 2012,Não lançado,22 de novembro de 2013
Darkstalkers Resurrection (Night Warriors: Darkstalkers' Revenge e Darkstalkers 3),Luta,Iron Galaxy,Capcom,13 de março de 2013,-,-,-
DarkStar One: Broken Alliance,Simulador de combate espacial,Gaming Minds Studio,Kalypso Media,20 de julho de 2010,4 de junho de 2010,Não lançado,22 de novembro de 2013
Darwinia+,Ação & Aventura,Introversion Software,Microsoft Studios,10 de fevereiro de 2010,-,-,-
Dash of Destruction,Corrida & Voo,NinjaBee,NinjaBee,17 de dezembro de 2008,-,-,-
Days of Thunder: Arcade,Corrida & Voo,Piranha Games,Paramount Digital Entertainment,25 de fevereiro de 2011,-,-,-
Daytona USA,Corrida & Voo,Sega,Sega,26 de outubro de 2011,-,-,-
de Blob 2,"Puzzle, Plataforma",Blue Tongue Entertainment,THQ,22 de fevereiro de 2011,25 de fevereiro de 2011,Não lançado,22 de novembro de 2013
Dead Block,Ação & Aventura,Candygun Games,Bandai Namco Entertainment,6 de julho de 2011,-,-,-
Dead Island,"Tiro em primeira pessoa, Survival Horror, Mundo aberto",Techland,Deep Silver,6 de setembro de 2011,9 de setembro de 2011,Não lançado,22 de novembro de 2013
Dead Island: Riptide,"Tiro em primeira pessoa, Survival Horror, Mundo aberto",Techland,Deep Silver,23 de abril de 2013,26 de abril de 2013,Não lançado,22 de novembro de 2013
Dead or Alive 4,Luta,Team Ninja,Tecmo,29 de dezembro de 2005,27 de janeiro de 2006,29 de dezembro de 2005,22 de novembro de 2013
Dead or Alive 5,Luta,Team Ninja,Tecmo Koei,25 de setembro de 2012,28 de setembro de 2012,27 de setembro de 2012,22 de novembro de 2013
Dead or Alive 5 Ultimate,Luta,Team Ninja,Tecmo Koei,3 de setembro de 2013,6 de setembro de 2013,5 de setembro de 2013,26 de setembro de 2013
Dead or Alive Xtreme 2,Esportes,Team Ninja,Tecmo,13 de novembro de 2006,8 de dezembro de 2006,22 de novembro de 2006,22 de novembro de 2013
Dead Rising,"Ação & Aventura, Survival Horror, Mundo aberto",Capcom,Capcom,8 de agosto de 2006,8 de setembro de 2006,28 de setembro de 2006,22 de novembro de 2013
Dead Rising 2,"Ação & Aventura, Survival Horror","Blue Castle, Capcom",Capcom,28 de setembro de 2010,24 de setembro de 2010,30 de setembro de 2010,22 de novembro de 2013
Dead Rising 2: Case West,Ação & Aventura,Blue Castle Games,Capcom,27 de dezembro de 2010,-,-,-
Dead Rising 2: Case Zero,Ação & Aventura,Blue Castle Games,Capcom,31 de agosto de 2010,-,-,-
Dead Rising 2: Off the Record,"Ação & Aventura, Survival Horror",Capcom Vancouver,Capcom,11 de outubro de 2011,14 de outubro de 2011,13 de outubro de 2011,22 de novembro de 2013
Dead Space,"Tiro em terceira pessoa, Survival Horror",EA Redwood Shores,Electronic Arts,14 de outubro de 2008,24 de outubro de 2008,Não lançado,22 de novembro de 2013
Dead Space 2,"Tiro em terceira pessoa, Survival Horror",Visceral Games,Electronic Arts,25 de janeiro de 2011,28 de janeiro de 2011,Não lançado,22 de novembro de 2013
Dead Space 3,"Tiro em terceira pessoa, Survival Horror",Visceral Games,Electronic Arts,5 de fevereiro de 2013,8 de fevereiro de 2013,Não lançado,22 de novembro de 2013
Dead Space Ignition,Ação & Aventura,Sumo Digital,Electronic Arts,13 de outubro de 2010,-,-,-
Dead to Rights: Retribution,Ação,Volatile Games,Namco Bandai Games,27 de abril de 2010,23 de abril de 2010,8 de julho de 2010,22 de novembro de 2013
Deadfall Adventures,"Tiro em primeira pessoa, Ação e aventura",The Farm 51,THQ Nordic GmbH,15 de novembro de 2013,15 de novembro de 2013,Não lançado,22 de novembro de 2013
Deadliest Catch: Alaskan Storm,Simulação,Liquid Dragon Studios,Greenwave Games,16 de junho de 2008,16 de junho de 2008,Não lançado,22 de novembro de 2013
Deadliest Catch: Sea of Chaos,Simulação,DoubleTap Games,Crave Entertainment,29 de novembro de 2010,29 de novembro de 2010,Não lançado,22 de novembro de 2013
Deadliest Warrior: Ancient Combat,Luta,Pipeworks Studios,345 Games,17 de abril de 2012,17 de abril de 2012,Não lançado,22 de novembro de 2013
Deadliest Warrior: Battlegrounds,Ação & Aventura,Hardsuit Labs,Spike,22 de julho de 2015,-,-,-
Deadliest Warrior: Legends,Luta,Pipeworks Studios,345 Games/Spike,6 de julho de 2011,-,-,-
Deadliest Warrior: The Game,Luta,Pipeworks Studios,Spike,14 de julho de 2010,-,-,-
Deadlight,Ação & Aventura,Tequila Works,Microsoft Studios,1 de agosto de 2012,-,-,-
Deadly Premonition[nota 10],"Survival Horror, Mundo aberto",Access Games,UTV Ignition Games,23 de fevereiro de 2010,29 de outubro de 2010,11 de março de 2010,22 de novembro de 2013
Deadpool,"Tiro em terceira pessoa, Luta",High Moon Studios,Activision,25 de junho de 2013,25 de junho de 2013,25 de junho de 2013,22 de novembro de 2013
Death By Cube,Ação & Aventura,Premium Agency,Square Enix,20 de janeiro de 2010,-,-,-
Death Tank,Tiro,Snowblind Studios,Microsoft Studios,18 de fevereiro de 2009,-,-,-
DeathSmiles,Shoot 'em up,Cave,"Aksys GamesNA, CaveJP",29 de junho de 2010,18 de fevereiro de 2011,23 de abril de 2009,10 de março de 2011
DeathSmiles II,Shoot 'em up,Cave,Cave,Não lançado,Não lançado,27 de maio de 2010,Não lançado
DeathSpank,RPG da ação,Hothead Games,Electronic Arts,14 de julho de 2010,-,-,-
Deathspank 2011Deathspank: The Baconing,RPG da ação,Hothead Games,Valcon Games,31 de agosto de 2011,-,-,-
DeathSpank: Thongs of Virtue,RPG da ação,Hothead Games,Electronic Arts,22 de setembro de 2010,-,-,-
Deca Sports Freedom,-,Hudson Soft,Konami,18 de novembro de 2010,26 de novembro de 2010,2 de dezembro de 2010,16 de dezembro de 2010
Deep Black: Episode 1,Ação & Aventura,Biart,505 Games,25 de abril de 2012,-,-,-
Deepak Chopra’s Leela,-,THQ,THQ,5 de junho de 2012,5 de junho de 2012,Não lançado,Não lançado
Def Jam Rapstar,"Música, Simulação",4mm Games,Konami,5 de outubro de 2010,5 de novembro de 2010,Não lançado,22 de novembro de 2013
Def Jam: Icon,Luta,EA Chicago,Electronic Arts,6 de março de 2007,23 de março de 2007,21 de junho de 2007,22 de novembro de 2013
Defender,Clássico,Midway Games/Digital Eclipse,Midway Games,15 de novembro de 2006,-,-,-
Defenders of Ardania,Estratégia & Simulação,Most Wanted Entertainment,Deep Silver/Paradox Interactive,14 de março de 2012,-,-,-
Defense Grid: The Awakening,Estratégia & Simulação,Hidden Path Entertainment,Microsoft Studios,2 de setembro de 2009,-,-,-
Defense Technica,Estratégia & Simulação,Kuno Interactive,Cyberfront Korea Corporation,23 de abril de 2014,-,-,-
Defiance,"Tiro em terceira pessoa, RPG eletrônico",Trion Worlds,Trion Worlds,2 de abril de 2013,2 de abril de 2013,11 de abril de 2013,22 de novembro de 2013
Destiny,"RPG de ação, Tiro em primeira pessoa",Bungie,Activision,9 de setembro de 2014,9 de setembro de 2014,Não lançado,22 de novembro de 2013
Destroy All Humans! Path of the Furon,"Tiro em terceira pessoa, Aventura",Sandblast Games,THQ,1 de dezembro de 2008,13 de fevereiro de 2009,Não lançado,22 de novembro de 2013
Deus Ex: Human Revolution,"RPG de ação, Stealth",Eidos Montréal,Square Enix,23 de agosto de 2011,26 de agosto de 2011,20 de outubro de 2011,22 de novembro de 2013
Deus Ex: Human Revolution Director's Cut,"RPG de ação, Stealth",Eidos Montréal,Square Enix,22 de novembro de 2013,22 de novembro de 2013,22 de novembro de 2013,22 de novembro de 2013
Devil May Cry 4,Ação & Hack and slash,Capcom,Capcom,5 de fevereiro de 2008,8 de fevereiro de 2008,31 de janeiro de 2008,22 de novembro de 2013
Devil May Cry HD Collection[nota 11],Ação & Hack and slash,Capcom,Capcom,3 de abril de 2012,3 de abril de 2012,22 de março de 2012,22 de novembro de 2013
Diablo III,RPG de ação,Blizzard Entertainment,Blizzard Entertainment,3 de setembro de 2013,3 de setembro de 2013,3 de setembro de 2013,22 de novembro de 2013
Diablo III: Reaper of Souls,RPG de ação,Blizzard Entertainment,Blizzard Entertainment,19 de agosto de 2014,19 de agosto de 2014,19 de agosto de 2014,22 de novembro de 2013
Diabolical Pitch,Kinect,Grasshopper Manufacture,Microsoft Studios,4 de abril de 2012,-,-,-
Diario: Rebirth Moon Legend,RPG eletrônico,Idea Factory,Idea Factory,Não lançado,Não lançado,8 de fevereiro de 2007,Não lançado
Dig Dug,Clássico,Bandai Namco Entertainment,Bandai Namco Entertainment,11 de outubro de 2006,-,-,-
Digimon All-Star Rumble,-,Bandai Namco Games,Bandai Namco Games,11 de novembro de 2014,11 de novembro de 2014,Não lançado,Não lançado
Diner Dash,Puzzle & Trivia,GameLab,Hudson Soft,18 de novembro de 2009,-,-,-
DiRT 1DiRT (a.k.a. Colin McRae: DiRTEU),Corrida,Codemasters,Codemasters,19 de junho de 2007,19 de junho de 2007,Não lançado,29 de junho de 2007
DiRT 2DiRT 2 (a.k.a. Colin McRae: DiRT 2EU),Corrida,Codemasters,Codemasters,8 de setembro de 2009,11 de setembro de 2009,Não lançado,17 de setembro de 2009
DiRT 3,Corrida,Codemasters,Codemasters,24 de maio de 2011,26 de maio de 2011,25 de julho de 2011,22 de novembro de 2013
DiRT: Showdown,Corrida,Codemasters Southam,Codemasters,12 de junho de 2012,25 de maio de 2012,Não lançado,22 de novembro de 2013
Discs of Tron,Clássico,Midway Games/Digital Eclipse,Disney Interactive Studios,13 de fevereiro de 2008,-,-,-
Dishonored[nota 12],Ação,Arkane Studios,Bethesda Softworks,9 de outubro de 2012,12 de outubro de 2012,11 de outubro de 2012,22 de novembro de 2013
"Dishwasher: Dead Samurai, TheThe Dishwasher: Dead Samurai",Ação & Aventura,Ska Studios,Microsoft Studios,1 de abril de 2009,-,-,-
"Dishwasher: Vampire Smile, TheThe Dishwasher: Vampire Smile",Ação & Aventura,Ska Studios,Microsoft Studios,6 de abril de 2011,-,-,-
Disney Infinity,Ação & Aventura,Avalanche Software,Disney Interactive Studios,18 de agosto de 2013,20 de agosto de 2013,Não lançado,22 de novembro de 2013
Disney Sing It,Música,Zoë Mode,Disney Interactive Studios,21 de outubro de 2008,7 de novembro de 2008,Não lançado,22 de novembro de 2013
Disney Sing It! – High School Musical 3: Senior Year,Música,Zoë Mode,Disney Interactive Studios,17 de fevereiro de 2009,5 de dezembro de 2008,Não lançado,22 de novembro de 2013
Disney Universe,Fantasia,Eurocom,Disney Interactive Studios,25 de outubro de 2011,28 de outubro de 2011,Não lançado,22 de novembro de 2013
Divinity II: Ego Draconis,RPG de ação,Larian Studios,CDV Software Entertainment,5 de janeiro de 2010,20 de novembro de 2009,Não lançado,22 de novembro de 2013
Divinity II: The Dragon Knight Saga,RPG de ação,Larian Studios,Atlus,12 de abril de 2011,agosto de 2010,Não lançado,22 de novembro de 2013
DJ Hero,Música,Ubisoft Leamington,Activision,27 de outubro de 2009,29 de outubro de 2009,Não lançado,22 de novembro de 2013
DJ Hero 2,Música,Ubisoft Leamington,Activision,19 de outubro de 2010,22 de outubro de 2010,Não lançado,22 de novembro de 2013
DmC: Devil May Cry,Ação & Hack and slash,Ninja Theory,Capcom,15 de janeiro de 2013,15 de janeiro de 2013,17 de janeiro de 2013,22 de novembro de 2013
DoDonPachi Dai Ou Jou Black Label Extra,Shoot 'em up,Cave,5pb.,Não lançado,Não lançado,25 de dezembro de 2008,22 de novembro de 2013
Do-Don-Pachi Dai-Fukkatsu[nota 13],Shoot 'em up,Cave,Cave,Não lançado,Não lançado,25 de novembro de 2010,22 de novembro de 2013
Dogfight 1942,Corrida & Voo,CI Games,CI Games,5 de setembro de 2012,-,-,-
Dollar Dash,Ação & Aventura,Candygun Games,Kalypso Media,6 de março de 2013,-,-,-
Domino Master,Cartas,TikGames,Microsoft Studios,17 de setembro de 2008,-,-,-
Don Bradman Cricket 14,Esporte,Big Ant Studios,Tru Blu Entertainment,Não lançado,Não lançado,Não lançado,22 de novembro de 2013
Don King Presents: Prizefighter,Esportes,Venom Games,2K Sports,10 de junho de 2008,13 de junho de 2008,Não lançado,22 de novembro de 2013
Doodle Jump for Kinect,Kinect,Lima Sky,D3 Publisher,28 de junho de 2013,-,-,-
Doom,Tiro,id Software,Bethesda Softworks,27 de setembro de 2006,-,-,-
Doom 3 BFG Edition,Tiro em primeira pessoa,id Software,Bethesda Softworks,16 de outubro de 2012,19 de outubro de 2012,22 de novembro de 2012,22 de novembro de 2013
Doom II: Hell on Earth,Tiro,id Software,Bethesda Softworks,26 de maio de 2010,-,-,-
Doritos Crash Course,Plataforma,Wanako Games,Microsoft Studios,8 de dezembro de 2010,-,-,-
Doritos Crash Course 2,Plataforma,BHVR,Microsoft Studios,8 de maio de 2013,-,-,-
Double D Dodgeball,Esportes & Recreação,Yuke's,Yuke's,16 de julho de 2008,-,-,-
Double Dragon,Clássico,Razerworks,Empire Interactive,9 de maio de 2007,-,-,-
Double Dragon II: Wander of the Dragons,Ação & Aventura,Gravity Interactive,Barunson,5 de abril de 2013,-,-,-
Double Dragon Neon,Ação & Aventura,WayForward Technologies,Majesco Entertainment,12 de setembro de 2012,-,-,-
Double Fine Happy Action Theater,Kinect,Double Fine,Microsoft Studios,1 de fevereiro de 2012,-,-,-
Dragon Age II,RPG de ação,BioWare,Electronic Arts,8 de março de 2011,11 de março de 2011,Não lançado,22 de novembro de 2013
Dragon Age: Inquisition,RPG de ação,BioWare,Electronic Arts,18 de novembro de 2014,21 de novembro de 2014,Não lançado,22 de novembro de 2013
Dragon Age: Origins,RPG eletrônico,BioWare,Electronic Arts,3 de novembro de 2009,6 de novembro de 2009,Não lançado,22 de novembro de 2013
Dragon Age: Origins – Awakening,RPG eletrônico,BioWare,Electronic Arts,16 de março de 2010,18 de março de 2010,Não lançado,22 de novembro de 2013
Dragon Ball XenoVerse,Luta,Dimps,Namco Bandai Games,24 de fevereiro de 2015,27 de fevereiro de 2015,5 de fevereiro de 2015,22 de novembro de 2013
Dragon Ball Z for Kinect,Luta,Spike,Namco Bandai Games,9 de outubro de 2012,2 de outubro de 2012,Não lançado,Não lançado
Dragon Ball Z: Battle of Z,Luta,Artdink,Namco Bandai Games,28 de janeiro de 2014,24 de janeiro de 2014,23 de janeiro de 2014,Não lançado
Dragon Ball Z: Burst Limit,Luta,Dimps,Namco Bandai GamesAtari,10 de junho de 2008,6 de junho de 2008,5 de junho de 2008,3 de julho de 2008
Dragon Ball Z: Ultimate Tenkaichi,Luta,Spike,Namco Bandai Games,25 de outubro de 2011,28 de outubro de 2011,8 de dezembro de 2011,22 de novembro de 2013
Dragon Ball: Raging Blast,Luta,Spike,Namco Bandai Games,10 de novembro de 2009,13 de novembro de 2009,12 de novembro de 2009,22 de novembro de 2013
Dragon Ball: Raging Blast 2,Luta,Spike,Namco Bandai Games,2 de novembro de 2010,24 de outubro de 2010,11 de novembro de 2010,22 de novembro de 2013
Dragon Ball Z: Budokai HD Collection remaster of Budokai & Budokai 3,Luta,Spike,Namco Bandai Games,2 de novembro de 2010,24 de outubro de 2010,11 de novembro de 2010,22 de novembro de 2013
Dragon's Dogma,"RPG de ação, Mundo aberto",Capcom,Capcom,25 de maio de 2012,24 de maio de 2012,24 de maio de 2012,22 de novembro de 2013
Dragon's Dogma: Dark Arisen,"RPG de ação, Mundo aberto",Capcom,Capcom,23 de abril de 2013,23 de abril de 2013,23 de abril de 2013,22 de novembro de 2013
Dragon's Lair,Clássico,Digital Leisure,Microsoft Studios,18 de maio de 2012,-,-,-
Dream Chronicles,Puzzle & Trivia,KatGames,PlayFirst,20 de outubro de 2010,-,-,-
Dream Club,Simulação,Tamsoft,D3 Publisher,Não lançado,Não lançado,27 de agosto de 2009,Não lançado
Dream Club Zero,Simulação,Tamsoft,D3 Publisher,Não lançado,Não lançado,27 de janeiro de 2011,Não lançado
Dreamcast Collection,Compilação,Sega,Sega,22 de fevereiro de 2011,25 de fevereiro de 2011,Não lançado,22 de novembro de 2013
DreamWorks Super Star Kartz,Corrida,High Impact Games,Activision,15 de novembro de 2011,18 de novembro de 2011,Não lançado,22 de novembro de 2013
Driver: San Francisco,"Corrida, Mundo aberto",Ubisoft Reflections,Ubisoft,6 de setembro de 2011,2 de setembro de 2011,10 de novembro de 2011,22 de novembro de 2013
Droplitz,Puzzle & Trivia,Blitz Arcade,Atlus,24 de junho de 2009,-,-,-
Duck Dynasty,-,Activision,Activision,14 de outubro de 2014,Não lançado,Não lançado,Não lançado
DuckTales: Remastered,Plataforma,WayForward Technologies,Capcom,11 de setembro de 2013,-,-,-
DuckTales: Remastered,Plataforma,WayForward Technologies,Capcom,12 de novembro de 2013,12 de novembro de 2013,Não lançado,22 de novembro de 2013
Duke Nukem 3D,Tiro,3D Realms,Microsoft Studios,24 de setembro de 2008,-,-,-
Duke Nukem Forever,Tiro em primeira pessoa,Gearbox Software,2K Games,14 de junho de 2011,10 de junho de 2011,10 de junho de 2011,22 de novembro de 2013
Duke Nukem: Manhattan Project,Ação & Aventura,3D Realms,Microsoft Studios,23 de junho de 2010,-,-,-
Dunamis 15,"Aventura, Romance visual",5pb.,5pb.,Não lançado,Não lançado,15 de setembro de 2011,Não lançado
Dungeon Defenders,Strategy & ARPG,Chromatic Games,D3 Publisher,19 de outubro de 2011,-,-,-
Dungeon Fighter Live: Fall of Hendon Myre,RPG da ação,Nexon Co. Ltd.,Microsoft Studios,13 de julho de 2012,-,-,-
Dungeon Siege III,RPG de ação,Obsidian Entertainment,Square Enix,21 de junho de 2011,17 de junho de 2011,28 de julho de 2011,22 de novembro de 2013
Dungeons & Dragons: Chronicles of Mystara (Shadow Over Mystara e Tower of Doom),Ação & Aventura,Iron Galaxy,Capcom,19 de junho de 2013,-,-,-
Dungeons & Dragons: Daggerdale,RPG da ação,Bedlam Games,Atari,25 de maio de 2011,-,-,-
Dust: An Elysian Tail,Plataforma,Humble Hearts,Microsoft Studios,15 de agosto de 2012,-,-,-
Dustforce,Plataforma,Hitbox Team,Capcom,25 de abril de 2014,-,-,-
Dynasty Warriors 5 Empires,"Hack and slash, RPG Tático",Omega Force,Koei,28 de março de 2006,23 de junho de 2006,23 de março de 2006,22 de novembro de 2013
Dynasty Warriors 6,"Hack and slash, RPG Tático",Omega Force,Koei,19 de fevereiro de 2008,7 de março de 2008,11 de novembro de 2007,22 de novembro de 2013
Dynasty Warriors 6 Empires,"Hack and slash, RPG Tático",Omega Force,Koei,16 de junho de 2009,26 de junho de 2009,29 de janeiro de 2009,22 de novembro de 2013
Dynasty Warriors 7,"Hack and slash, RPG Tático",Omega Force,Koei,25 de março de 2011,25 de março de 2011,25 de março de 2011,22 de novembro de 2013
Dynasty Warriors 8,"Hack and slash, RPG Tático",Omega Force,Koei,16 de julho de 2013,19 de julho de 2013,28 de fevereiro de 2013,22 de novembro de 2013
Dynasty Warriors: Gundam 2[nota 14],"Hack and slash, RPG Tático",Omega Force,"Namco Bandai, KoeiEU",21 de abril de 2009,24 de abril de 2009,18 de dezembro de 2008,22 de novembro de 2013
Dynasty Warriors: Gundam 3[nota 15],"Hack and slash, RPG Tático","Koei, Omega Force","Namco Bandai, KoeiEU",28 de junho de 2011,1 de julho de 2011,16 de dezembro de 2010,22 de novembro de 2013
Dynasty Warriors: Gundam[nota 16],"Hack and slash, RPG Tático","Koei, Omega Force","Namco Bandai, KoeiEU",28 de agosto de 2007,9 de novembro de 2007,1 de março de 2007,22 de novembro de 2013
Dynasty Warriors: Strikeforce[nota 17],"Hack and slash, RPG Tático",Koei,Koei,16 de fevereiro de 2010,19 de fevereiro de 2010,1 de outubro de 2009,22 de novembro de 2013
EA Sports Active 2,-,EA Vancouver,EA Sports,16 de novembro de 2010,19 de novembro de 2010,18 de novembro de 2010,TBA
EA Sports Fantasy Football:Live Draft Tracker,Esportes & Recreação,EA Tiburon,EA Sports,16 de julho de 2008,-,-,-
EA Sports Fantasy Football:Live Score Tracker,Esportes & Recreação,EA Tiburon,EA Sports,3 de setembro de 2008,-,-,-
EA Sports MMA,Esportes,EA Tiburon,EA Sports,19 de outubro de 2010,19 de outubro de 2010,19 de outubro de 2010,22 de novembro de 2013
Earth Defense Force 2017,Tiro em terceira pessoa,Sandlot,D3 Publisher,20 de março de 2007,20 de março de 2007,14 de dezembro de 2006,22 de novembro de 2013
Earth Defense Force 2025,Tiro em terceira pessoa,Sandlot,D3 Publisher,18 de fevereiro de 2014,21 de fevereiro de 2014,4 de julho de 2013,22 de novembro de 2013
Earth Defense Force: Insect Armageddon,Tiro em terceira pessoa,Vicious Cycle Software,D3 Publisher,5 de julho de 2011,22 de julho de 2011,7 de julho de 2011,22 de novembro de 2013
Earthworm Jim HD,Clássico,Gameloft,Microsoft Studios,9 de junho de 2010,-,-,-
Eat Lead: The Return of Matt Hazard,Tiro em terceira pessoa,Vicious Cycle Software,D3 Publisher,26 de fevereiro de 2009,6 de março de 2009,18 de fevereiro de 2009,22 de novembro de 2013
Ecco the Dolphin,Clássico,Novotrade InternationalDigital Eclipse,Sega,15 de agosto de 2007,-,-,-
Eets: Chowdown,Puzzle & Trivia,Klei Entertainment,Microsoft Studios,25 de abril de 2007,-,-,-
El Chavo Kart,Corrida,Efecto Studios (along with Slang),Televisa Home Entertainment,21 de fevereiro de 2014,Não lançado,Não lançado,22 de novembro de 2013
El Shaddai: Ascension of the Metatron,Ação,Ignition Tokyo,UTV Ignition Games,16 de agosto de 2011,9 de setembro de 2011,28 de abril de 2011,22 de novembro de 2013
Elements of Destruction,Estratégia & Simulação,Frozen Codebase,THQ,18 de junho de 2008,-,-,-
Enchanted Arms[nota 18],RPG eletrônico,From Software,Ubisoft,29 de agosto de 2006,8 de setembro de 2006,12 de janeiro de 2006,22 de novembro de 2013
Encleverment Experiment,Família & Educacional,Blitz Arcade,Microsoft Studios,11 de novembro de 2009,-,-,-
Enemy Front,Tiro em primeira pessoa,City Interactive,City Interactive,10 de junho de 2014,13 de junho de 2014,13 de junho de 2014,22 de novembro de 2013
Enemy Territory: Quake Wars,Tiro em primeira pessoa,"id Software, Nerve Software",Activision,27 de maio de 2008,30 de maio de 2008,Não lançado,22 de novembro de 2013
Enslaved: Odyssey to the West,"Ação & Aventura, Plataforma",Ninja Theory,Namco Bandai Games,5 de outubro de 2010,8 de outubro de 2010,7 de outubro de 2010,22 de novembro de 2013
Epic Mickey 2: The Power of Two,"Ação & Aventura, Plataforma",Blitz Games,Disney Interactive Studios,18 de novembro de 2012,23 de novembro de 2012,Não lançado,22 de novembro de 2013
Eragon,"Hack and slash, Ação e aventura",Stormfront Studios,Vivendi Games,14 de novembro de 2006,24 de novembro de 2006,Não lançado,22 de novembro de 2013
Escape Dead Island,"Ação, Survival Horror, Stealth",Fatshark,Deep Silver,18 de novembro de 2014,21 de novembro de 2014,28 de novembro de 2014,22 de novembro de 2013
"Escapists, TheThe Escapists",Estratégia & Simulação,Mouldy Toof Studios/Team17,Team17,18 de dezembro de 2015,-,-,-
Eschatos,-,Qute,Qute,Não lançado,Não lançado,28 de fevereiro de 2012,Não lançado
Espgaluda II,Shoot 'em up,Cave,Cave,Não lançado,Não lançado,25 de fevereiro de 2010,22 de novembro de 2013
Eternal Sonata,RPG eletrônico,Tri-Crescendo,Namco Bandai Games,17 de setembro de 2007,19 de outubro de 2007,14 de junho de 2007,22 de novembro de 2013
Ever17,"Romance visual, Simulação",5pb.,5pb.,Não lançado,Não lançado,1 de dezembro de 2011,22 de novembro de 2013
Every Extend Extra Extreme (E4),Ação & Aventura,Q Entertainment,Microsoft Studios,17 de outubro de 2007,-,-,-
Everyone Sing,Jogo em grupo,Oxygen Games,Oxygen Games,Não lançado,Não lançado,Não lançado,22 de novembro de 2013
Exit,Puzzle & Trivia,Taito,Taito,24 de outubro de 2007,-,-,-
Exit 2,Puzzle & Trivia,Taito,Taito,25 de fevereiro de 2009,-,-,-
"Expendables 2 Video Game, TheThe Expendables 2 Video Game",Tiro,ZootFly,Ubisoft,17 de agosto de 2012,-,-,-
F.E.A.R.,"Tiro em primeira pessoa, Survival horror",Wargaming Chicago-Baltimore,Vivendi Games,31 de outubro de 2006,10 de novembro de 2006,Não lançado,22 de novembro de 2013
F.E.A.R. 2: Project Origin,"Tiro em primeira pessoa, Survival horror",Monolith Productions,Warner Bros. Interactive Entertainment,10 de fevereiro de 2009,13 de fevereiro de 2009,Não lançado,22 de novembro de 2013
F.E.A.R. 3,"Tiro em primeira pessoa, Survival horror",Wargaming Chicago-Baltimore,Warner Bros. Interactive Entertainment,21 de junho de 2011,24 de junho de 2011,21 de julho de 2011,22 de novembro de 2013
F.E.A.R. Files[nota 19],"Tiro em primeira pessoa, Survival horror",TimeGate Studios,Sierra Entertainment,6 de novembro de 2007,16 de novembro de 2007,Não lançado,22 de novembro de 2013
F1 2010,Corrida,Codemasters,Codemasters,22 de setembro de 2010,23 de setembro de 2010,Não lançado,22 de novembro de 2013
F1 2011,Corrida,Codemasters,Codemasters,20 de setembro de 2011,23 de setembro de 2011,Não lançado,22 de novembro de 2013
F1 2012,Corrida,Codemasters,Codemasters,18 de setembro de 2012,21 de setembro de 2012,Não lançado,22 de novembro de 2013
F1 2013,Corrida,Codemasters,Codemasters,8 de outubro de 2013,4 de outubro de 2013,Não lançado,22 de novembro de 2013
F1 2014,Corrida,Codemasters,Codemasters,21 de outubro de 2014,17 de outubro de 2014,Não lançado,22 de novembro de 2013
F1 Race Stars,Corrida,Codemasters,Codemasters,12 de novembro de 2012,12 de novembro de 2012,Não lançado,22 de novembro de 2013
Fable Anniversary,"RPG de ação, Mundo aberto",Lionhead Studios,Microsoft Game Studios,4 de fevereiro de 2014,7 de fevereiro de 2014,6 de fevereiro de 2014,22 de novembro de 2013
Fable Heroes,Ação & Aventura,Lionhead Studios,Microsoft Studios,2 de maio de 2012,-,-,-
Fable II,"RPG de ação, Mundo aberto",Lionhead Studios,Microsoft Game Studios,21 de outubro de 2008,24 de outubro de 2008,18 de dezembro de 2008,22 de novembro de 2013
Fable II Pub Games,Cartas,Carbonated Games/Lionhead Studios,Microsoft Studios,13 de agosto de 2008,-,-,-
Fable III,"RPG de ação, Mundo aberto",Lionhead Studios,Microsoft Game Studios,26 de outubro de 2010,26 de outubro de 2010,26 de outubro de 2010,22 de novembro de 2013
Fable: The Journey,-,Lionhead Studios,Microsoft Studios,9 de outubro de 2012,12 de outubro de 2012,TBA 2012,TBA 2012
FaceBreaker,Esportes,EA Canada,EA Sports Freestyle,3 de setembro de 2008,5 de setembro de 2008,16 de outubro de 2008,22 de novembro de 2013
Faery: Legends of Avalon,RPG da ação,Spiders,Focus Home Interactive,10 de novembro de 2010,-,-,-
Fairytale Fights,"Hack and slash, Ação e aventura",Playlogic Entertainment,Playlogic Entertainment,27 de outubro de 2009,23 de outubro de 2009,Não lançado,22 de novembro de 2013
Falling Skies: The Game,Estratégia,Torus Games,Little Orbit,23 de setembro de 2014,23 de setembro de 2014,Não lançado,22 de novembro de 2013
Fallout 3,"RPG de ação, Mundo aberto",Bethesda Game Studios,Bethesda Softworks,28 de outubro de 2008,31 de outubro de 2008,4 de dezembro de 2008,22 de novembro de 2013
Fallout 3 Game Add-On Pack - Broken Steel and Point Lookout,"RPG de ação, Mundo aberto",Bethesda Game Studios,Bethesda Softworks,27 de agosto de 2009,22 de novembro de 2013,22 de novembro de 2013,22 de novembro de 2013
